Dividend,Enchantment 1,Enchantment 2,Enchantment 3
0,Knockback 1,"Power 2, Density 2",Sharpness 3
1,Impaling 1,Efficiency 2,"Piercing 3, Silk Touch"
2,Power 1,Fire Aspect 1,Channeling
3,Feather Falling 1,Sharpness 2,Looting 2
4,Unbreaking 1,Quick Charge 1,"Power 3, Multishot"
5,Power 1,Fire Protection 1,Quick Charge 1
6,Power 1,Unbreaking 1,Protection 3
7,Efficiency 1,Smite 1,Respiration 3
8,Smite 1,Fire Aspect 1,Protection 3
9,Power 1,Knockback 1,Loyalty 3
10,Unbreaking 1,Smite 1,Smite 4
11,Bane of Arthropods 1,Protection 1,"Protection 3, Looting 2"
12,Piercing 1,Projectile Protection 2,Looting 3
13,Projectile Protection 1,Sharpness 1,Fire Aspect 1
14,Unbreaking 1,Smite 2,Aqua Affinity
15,Knockback 1,Respiration 1,Sharpness 3
