Dividend,Enchantment 1,Enchantment 2,Enchantment 3
0,"Fire Protection 1, Unbreaking 2","Protection 2, Depth Strider 1, Unbreaking 2","Blast Protection 4, Unbreaking 3"
1,"Protection 1, Feather Falling 1","Blast Protection 2, Depth Strider 1","Protection 4, Depth Strider 3, Unbreaking 3"
2,"Protection 1, Unbreaking 1","Protection 2, Unbreaking 2","Fire Protection 4, Unbreaking 3"
3,"Protection 2, Unbreaking 1","Depth Strider 2, Unbreaking 3","Protection 3, Depth Strider 3"
4,"Depth Strider 1, Unbreaking 2","Fire Protection 2, Unbreaking 3","Protection 3, Depth Strider 3, Unbreaking 3"
5,"Protection 1, Feather Falling 1","Protection 2, Feather Falling 2, Depth Strider 1","Protection 4, Unbreaking 3"
6,"Protection 1, Feather Falling 1, Depth Strider 1","Projectile Protection 3, Feather Falling 2","Fire Protection 4, Unbreaking 3"
7,"Projectile Protection 2, Feather Falling 2","Projectile Protection 2, Feather Falling 2","Depth Strider 3, Unbreaking 3"
8,"Projectile Protection 2, Feather Falling 2","Fire Protection 1, Unbreaking 2","Protection 3, Unbreaking 3"
9,"Fire Protection 1, Unbreaking 1","Fire Protection 2, Unbreaking 3","Protection 3, Unbreaking 3"
10,"Fire Protection 1, Unbreaking 1","Protection 2, Feather Falling 2","Blast Protection 4, Depth Strider 3, Unbreaking 3"
11,"Protection 2, Feather Falling 2","Protection 2, Unbreaking 1","Protection 3, Depth Strider 3, Unbreaking 3"
12,Protection 1,"Projectile Protection 2, Feather Falling 2","Fire Protection 4, Unbreaking 3"
13,Feather Falling 1,"Projectile Protection 2, Feather Falling 2","Fire Protection 3, Unbreaking 3"
14,"Projectile Protection 2, Feather Falling 2","Projectile Protection 4, Unbreaking 3",Protection 4
15,"Projectile Protection 2, Unbreaking 2",Unbreaking 2,Protection 4
