Dividend,Enchantment 1,Enchantment 2,Enchantment 3
0,"Fire Protection 1, Unbreaking 2","Protection 2, Thorns 1, Unbreaking 2","Protection 4, Thorns 2"
1,"Blast Protection 1, Unbreaking 1","Protection 2, Thorns 1","Fire Protection 4, Thorns 2, Unbreaking 3"
2,"Protection 1, Unbreaking 1","Protection 2, Unbreaking 2","Protection 4, Unbreaking 3"
3,"Protection 2, Unbreaking 1","Protection 2, Unbreaking 3","Protection 3, Unbreaking 3"
4,"Protection 2, Unbreaking 2","Projectile Protection 4, Unbreaking 3","Fire Protection 3, Thorns 2, Unbreaking 3"
5,"Projectile Protection 1, Unbreaking 1","Projectile Protection 3, Thorns 1, Unbreaking 2","Protection 4, Unbreaking 3"
6,"Projectile Protection 2, Thorns 1, Unbreaking 1","Fire Protection 1, Unbreaking 2","Blast Protection 4, Unbreaking 3"
7,"Fire Protection 1, Unbreaking 1","Projectile Protection 2, Unbreaking 2","Fire Protection 4, Unbreaking 3"
8,"Projectile Protection 2, Unbreaking 2","Protection 2, Unbreaking 2","Protection 3, Unbreaking 3"
9,"Protection 1, Unbreaking 1","Fire Protection 2, Unbreaking 3","Protection 3, Unbreaking 3"
10,"Fire Protection 1, Unbreaking 1","Protection 2, Unbreaking 2","Fire Protection 3, Thorns 2, Unbreaking 3"
11,"Protection 2, Unbreaking 1","Protection 2, Unbreaking 1","Protection 3, Thorns 2, Unbreaking 3"
12,Unbreaking 1,"Projectile Protection 2, Unbreaking 1","Protection 4, Unbreaking 3"
13,Protection 1,"Fire Protection 1, Unbreaking 2","Protection 3, Unbreaking 3"
14,"Fire Protection 1, Unbreaking 2","Protection 2, Unbreaking 3",Fire Protection 4
15,"Protection 2, Unbreaking 2",Protection 2,Protection 4
