Dividend,Enchantment 1,Enchantment 2,Enchantment 3
0,"Fire Protection 1, Unbreaking 2","Blast Protection 2, Aqua Affinity, Unbreaking 2","Protection 4, Respiration 3"
1,"Projectile Protection 1, Aqua Affinity","Protection 2, Unbreaking 2","Blast Protection 4, Respiration 3, Aqua Affinity"
2,"Projectile Protection 2, Unbreaking 1","Protection 2, Aqua Affinity","Protection 4, Respiration 3"
3,"Protection 2, Aqua Affinity","Aqua Affinity, Unbreaking 3","Protection 3, Unbreaking 3"
4,"Aqua Affinity, Unbreaking 2","Projectile Protection 4, Unbreaking 3","Protection 3, Aqua Affinity, Unbreaking 3"
5,"Protection 1, Aqua Affinity","Projectile Protection 3, Aqua Affinity, Unbreaking 2","Protection 4, Respiration 3"
6,"Projectile Protection 2, Aqua Affinity, Unbreaking 1","Projectile Protection 3, Respiration 1","Protection 4, Unbreaking 3"
7,"Projectile Protection 2, Respiration 1","Protection 2, Unbreaking 2","Protection 4, Unbreaking 3"
8,"Protection 2, Unbreaking 2","Protection 2, Aqua Affinity","Protection 3, Respiration 3"
9,"Protection 1, Aqua Affinity","Protection 2, Unbreaking 3","Protection 3, Unbreaking 3"
10,"Protection 1, Unbreaking 1","Protection 2, Unbreaking 2","Respiration 3, Aqua Affinity, Unbreaking 3"
11,"Protection 2, Unbreaking 1","Projectile Protection 2, Unbreaking 1","Fire Protection 3, Respiration 3, Unbreaking 3"
12,Projectile Protection 1,"Projectile Protection 2, Respiration 1","Protection 4, Unbreaking 3"
13,Unbreaking 1,"Fire Protection 1, Unbreaking 2","Aqua Affinity, Unbreaking 3"
14,"Fire Protection 1, Unbreaking 2","Blast Protection 3, Unbreaking 3",Blast Protection 4
15,"Blast Protection 2, Unbreaking 2",Unbreaking 2,Protection 4
