Dividend,Enchantment 1,Enchantment 2,Enchantment 3
0,"Smite 2, Unbreaking 2","Smite 2, Fire Aspect 1, Unbreaking 2","Looting 3, Unbreaking 3"
1,"Sharpness 1, Knockback 1","Looting 1, Unbreaking 2","Sharpness 4, Knockback 2, Unbreaking 3"
2,"Bane of Arthropods 1, Sweeping Edge 1","Knockback 1, Unbreaking 2","Looting 3, Unbreaking 3"
3,"Sharpness 2, Fire Aspect 1","Sharpness 2, Sweeping Edge 2","Sharpness 3, Sweeping Edge 3"
4,"Sharpness 2, Sweeping Edge 2","Sharpness 2, Sweeping Edge 2","Sharpness 3, Knockback 2, Unbreaking 3"
5,"Bane of Arthropods 1, Unbreaking 1","Sharpness 2, Knockback 1, Unbreaking 2","Bane of Arthropods 4, Looting 3"
6,"Sharpness 1, Fire Aspect 1, Unbreaking 1","Bane of Arthropods 2, Looting 1","Knockback 2, Unbreaking 3"
7,"Fire Aspect 1, Knockback 1","Sharpness 2, Knockback 1","Sharpness 4, Unbreaking 3"
8,"Sharpness 2, Knockback 1","Smite 2, Unbreaking 2","Fire Aspect 2, Knockback 2"
9,"Smite 1, Unbreaking 1","Fire Aspect 1, Knockback 1","Knockback 2, Unbreaking 3"
10,"Smite 1, Unbreaking 1","Knockback 1, Unbreaking 2","Smite 4, Knockback 2, Looting 2"
11,"Sharpness 2, Knockback 1","Sharpness 2, Knockback 1","Bane of Arthropods 4, Knockback 2, Unbreaking 3"
12,Bane of Arthropods 1,"Fire Aspect 1, Knockback 1","Smite 5, Fire Aspect 2"
13,Sharpness 1,"Bane of Arthropods 2, Fire Aspect 1","Sharpness 3, Knockback 2"
14,"Bane of Arthropods 2, Fire Aspect 1","Sharpness 2, Knockback 1",Sharpness 4
15,"Sharpness 2, Fire Aspect 1",Sharpness 2,Looting 3
