Dividend,Enchantment 1,Enchantment 2,Enchantment 3
0,"Efficiency 2, Unbreaking 2","Fortune 1, Efficiency 2, Unbreaking 2","Efficiency 4, Unbreaking 3"
1,"Efficiency 1, Unbreaking 1","Efficiency 2, Unbreaking 2","Fortune 3, Efficiency 4, Unbreaking 3"
2,"Efficiency 1, Unbreaking 1","Fortune 1, Efficiency 2","Efficiency 4, Unbreaking 3"
3,"Efficiency 2, Unbreaking 1","Efficiency 3, Unbreaking 3","Efficiency 4, Unbreaking 3"
4,"Efficiency 2, Unbreaking 2","Efficiency 3, Unbreaking 3","Silk Touch, Efficiency 4, Unbreaking 3"
5,"Efficiency 1, Unbreaking 1","Silk Touch, Efficiency 2, Unbreaking 2","Silk Touch, Unbreaking 3"
6,"Efficiency 1, Unbreaking 1","Silk Touch, Unbreaking 2","Fortune 3, Efficiency 4"
7,"Efficiency 2, Unbreaking 1","Efficiency 2, Unbreaking 2","Fortune 3, Efficiency 4"
8,"Efficiency 2, Unbreaking 2","Efficiency 2, Unbreaking 2","Efficiency 4, Unbreaking 3"
9,"Efficiency 1, Unbreaking 1","Efficiency 3, Unbreaking 3","Efficiency 4, Unbreaking 3"
10,"Efficiency 1, Unbreaking 1","Efficiency 2, Unbreaking 2","Silk Touch, Efficiency 3, Unbreaking 3"
11,"Efficiency 2, Unbreaking 1","Efficiency 2, Unbreaking 1","Fortune 2, Efficiency 4, Unbreaking 3"
12,Efficiency 1,"Efficiency 2, Unbreaking 1","Efficiency 4, Unbreaking 3"
13,Unbreaking 1,"Efficiency 2, Unbreaking 2","Efficiency 4, Unbreaking 3"
14,"Efficiency 2, Unbreaking 2","Efficiency 3, Unbreaking 3",Efficiency 4
15,"Efficiency 2, Unbreaking 2",Efficiency 2,Silk Touch
